0,1,2,3,4,Year
1990 American League Player Review ← 1989 | 1990 Hitting Statistics League Leaders | 1991 →,1990 American League Player Review ← 1989 | 1990 Hitting Statistics League Leaders | 1991 →,1990 American League Player Review ← 1989 | 1990 Hitting Statistics League Leaders | 1991 →,1990 American League Player Review ← 1989 | 1990 Hitting Statistics League Leaders | 1991 →,1990 American League Player Review ← 1989 | 1990 Hitting Statistics League Leaders | 1991 →,1990
Statistic,Name,Team,#,Top 25,1990
Base on Balls,Mark McGwire,Oakland,110,Top 25,1990
Batting Average,George Brett,Kansas City,.329,Top 25,1990
Doubles,George Brett,Kansas City,45,Top 25,1990
Doubles,Jody Reed,Boston,45,Top 25,1990
Hits,Rafael Palmeiro,Texas,191,Top 25,1990
Home Runs,Cecil Fielder,Detroit,51,Top 25,1990
On Base Percentage,Rickey Henderson,Oakland,.441,Top 25,1990
RBI,Cecil Fielder,Detroit,132,Top 25,1990
Runs,Rickey Henderson,Oakland,119,Top 25,1990
Slugging Average,Cecil Fielder,Detroit,.592,Top 25,1990
Stolen Bases,Rickey Henderson,Oakland,65,Top 25,1990
Total Bases,Cecil Fielder,Detroit,339,Top 25,1990
Triples,Tony Fernandez,Toronto,17,Top 25,1990
Statistic,Name,Team,#,Top 25,1990
1991 American League Player Review ← 1990 | 1991 Hitting Statistics League Leaders | 1992 →,1991 American League Player Review ← 1990 | 1991 Hitting Statistics League Leaders | 1992 →,1991 American League Player Review ← 1990 | 1991 Hitting Statistics League Leaders | 1992 →,1991 American League Player Review ← 1990 | 1991 Hitting Statistics League Leaders | 1992 →,1991 American League Player Review ← 1990 | 1991 Hitting Statistics League Leaders | 1992 →,1991
Statistic,Name,Team,#,Top 25,1991
Base on Balls,Frank Thomas,Chicago,138,Top 25,1991
Batting Average,Julio Franco,Texas,.341,Top 25,1991
Doubles,Rafael Palmeiro,Texas,49,Top 25,1991
Hits,Paul Molitor,Milwaukee,216,Top 25,1991
Home Runs,Jose Canseco,Oakland,44,Top 25,1991
Home Runs,Cecil Fielder,Detroit,44,Top 25,1991
On Base Percentage,Frank Thomas,Chicago,.454,Top 25,1991
RBI,Cecil Fielder,Detroit,133,Top 25,1991
Runs,Paul Molitor,Milwaukee,133,Top 25,1991
Slugging Average,Danny Tartabull,Kansas City,.593,Top 25,1991
Stolen Bases,Rickey Henderson,Oakland,58,Top 25,1991
Total Bases,"Cal Ripken, Jr.",Baltimore,368,Top 25,1991
Triples,Lance Johnson,Chicago,12,Top 25,1991
Statistic,Name,Team,#,Top 25,1991
1991 A.L. History | 1991 N.L. History | Year-by-Year History,1991 A.L. History | 1991 N.L. History | Year-by-Year History,1991 A.L. History | 1991 N.L. History | Year-by-Year History,1991 A.L. History | 1991 N.L. History | Year-by-Year History,1991 A.L. History | 1991 N.L. History | Year-by-Year History,1991
1992 American League Player Review ← 1991 | 1992 Hitting Statistics League Leaders | 1993 →,1992 American League Player Review ← 1991 | 1992 Hitting Statistics League Leaders | 1993 →,1992 American League Player Review ← 1991 | 1992 Hitting Statistics League Leaders | 1993 →,1992 American League Player Review ← 1991 | 1992 Hitting Statistics League Leaders | 1993 →,1992 American League Player Review ← 1991 | 1992 Hitting Statistics League Leaders | 1993 →,1992
Statistic,Name,Team,#,Top 25,1992
Base on Balls,Mickey Tettleton,Detroit,122,Top 25,1992
Base on Balls,Frank Thomas,Chicago,122,Top 25,1992
Batting Average,Edgar Martinez,Seattle,.343,Top 25,1992
Doubles,Edgar Martinez,Seattle,46,Top 25,1992
Doubles,Frank Thomas,Chicago,46,Top 25,1992
Hits,Kirby Puckett,Minnesota,210,Top 25,1992
Home Runs,Juan Gonzalez,Texas,43,Top 25,1992
On Base Percentage,Frank Thomas,Chicago,.446,Top 25,1992
RBI,Cecil Fielder,Detroit,124,Top 25,1992
Runs,Tony Phillips,Detroit,114,Top 25,1992
Slugging Average,Mark McGwire,Oakland,.585,Top 25,1992
Stolen Bases,Kenny Lofton,Cleveland,66,Top 25,1992
Total Bases,Kirby Puckett,Minnesota,313,Top 25,1992
Triples,Lance Johnson,Chicago,12,Top 25,1992
Statistic,Name,Team,#,Top 25,1992
1993 American League Player Review ← 1992 | 1993 Hitting Statistics League Leaders | 1994 →,1993 American League Player Review ← 1992 | 1993 Hitting Statistics League Leaders | 1994 →,1993 American League Player Review ← 1992 | 1993 Hitting Statistics League Leaders | 1994 →,1993 American League Player Review ← 1992 | 1993 Hitting Statistics League Leaders | 1994 →,1993 American League Player Review ← 1992 | 1993 Hitting Statistics League Leaders | 1994 →,1993
Statistic,Name,Team,#,Top 25,1993
Base on Balls,Tony Phillips,Detroit,132,Top 25,1993
Batting Average,John Olerud,Toronto,.363,Top 25,1993
Doubles,John Olerud,Toronto,54,Top 25,1993
Hits,Paul Molitor,Toronto,211,Top 25,1993
Home Runs,Juan Gonzalez,Texas,46,Top 25,1993
On Base Percentage,John Olerud,Toronto,.478,Top 25,1993
RBI,Albert Belle,Cleveland,129,Top 25,1993
Runs,Rafael Palmeiro,Texas,124,Top 25,1993
Slugging Average,Juan Gonzalez,Texas,.632,Top 25,1993
Stolen Bases,Kenny Lofton,Cleveland,70,Top 25,1993
Total Bases,"Ken Griffey, Jr.",Seattle,359,Top 25,1993
Triples,Lance Johnson,Chicago,14,Top 25,1993
Statistic,Name,Team,#,Top 25,1993
1994 American League Player Review ← 1993 | 1994 Hitting Statistics League Leaders | 1995 →,1994 American League Player Review ← 1993 | 1994 Hitting Statistics League Leaders | 1995 →,1994 American League Player Review ← 1993 | 1994 Hitting Statistics League Leaders | 1995 →,1994 American League Player Review ← 1993 | 1994 Hitting Statistics League Leaders | 1995 →,1994 American League Player Review ← 1993 | 1994 Hitting Statistics League Leaders | 1995 →,1994
Statistic,Name,Team,#,Top 25,1994
Base on Balls,Frank Thomas,Chicago,109,Top 25,1994
Batting Average,Paul O'Neill,New York,.359,Top 25,1994
Doubles,Chuck Knoblauch,Minnesota,45,Top 25,1994
Hits,Kenny Lofton,Cleveland,160,Top 25,1994
Home Runs,"Ken Griffey, Jr.",Seattle,40,Top 25,1994
On Base Percentage,Frank Thomas,Chicago,.494,Top 25,1994
RBI,Kirby Puckett,Minnesota,112,Top 25,1994
Runs,Frank Thomas,Chicago,106,Top 25,1994
Slugging Average,Frank Thomas,Chicago,.729,Top 25,1994
Stolen Bases,Kenny Lofton,Cleveland,60,Top 25,1994
Total Bases,Albert Belle,Cleveland,294,Top 25,1994
Triples,Lance Johnson,Chicago,14,Top 25,1994
Statistic,Name,Team,#,Top 25,1994
1995 American League Player Review ← 1994 | 1995 Hitting Statistics League Leaders | 1996 →,1995 American League Player Review ← 1994 | 1995 Hitting Statistics League Leaders | 1996 →,1995 American League Player Review ← 1994 | 1995 Hitting Statistics League Leaders | 1996 →,1995 American League Player Review ← 1994 | 1995 Hitting Statistics League Leaders | 1996 →,1995 American League Player Review ← 1994 | 1995 Hitting Statistics League Leaders | 1996 →,1995
Statistic,Name,Team,#,Top 25,1995
Base on Balls,Frank Thomas,Chicago,136,Top 25,1995
Batting Average,Edgar Martinez,Seattle,.356,Top 25,1995
Doubles,Albert Belle,Cleveland,52,Top 25,1995
Doubles,Edgar Martinez,Seattle,52,Top 25,1995
Hits,Lance Johnson,Chicago,186,Top 25,1995
Home Runs,Albert Belle,Cleveland,50,Top 25,1995
On Base Percentage,Edgar Martinez,Seattle,.482,Top 25,1995
RBI,Albert Belle,Cleveland,126,Top 25,1995
RBI,Mo Vaughn,Boston,126,Top 25,1995
Runs,Albert Belle,Cleveland,121,Top 25,1995
Runs,Edgar Martinez,Seattle,121,Top 25,1995
Slugging Average,Albert Belle,Cleveland,.690,Top 25,1995
Stolen Bases,Kenny Lofton,Cleveland,54,Top 25,1995
Total Bases,Albert Belle,Cleveland,377,Top 25,1995
Triples,Kenny Lofton,Cleveland,13,Top 25,1995
Statistic,Name,Team,#,Top 25,1995
1996 American League Player Review ← 1995 | 1996 Hitting Statistics League Leaders | 1997 →,1996 American League Player Review ← 1995 | 1996 Hitting Statistics League Leaders | 1997 →,1996 American League Player Review ← 1995 | 1996 Hitting Statistics League Leaders | 1997 →,1996 American League Player Review ← 1995 | 1996 Hitting Statistics League Leaders | 1997 →,1996 American League Player Review ← 1995 | 1996 Hitting Statistics League Leaders | 1997 →,1996
Statistic,Name,Team,#,Top 25,1996
Base on Balls,Tony Phillips,Chicago,125,Top 25,1996
Batting Average,Alex Rodriguez,Seattle,.358,Top 25,1996
Doubles,Alex Rodriguez,Seattle,54,Top 25,1996
Hits,Paul Molitor,Minnesota,225,Top 25,1996
Home Runs,Mark McGwire,Oakland,52,Top 25,1996
On Base Percentage,Mark McGwire,Oakland,.468,Top 25,1996
RBI,Albert Belle,Cleveland,148,Top 25,1996
Runs,Alex Rodriguez,Seattle,141,Top 25,1996
Slugging Average,Mark McGwire,Oakland,.730,Top 25,1996
Stolen Bases,Kenny Lofton,Cleveland,75,Top 25,1996
Total Bases,Alex Rodriguez,Seattle,379,Top 25,1996
Triples,Chuck Knoblauch,Minnesota,14,Top 25,1996
Statistic,Name,Team,#,Top 25,1996
1997 American League Player Review ← 1996 | 1997 Hitting Statistics League Leaders | 1998 →,1997 American League Player Review ← 1996 | 1997 Hitting Statistics League Leaders | 1998 →,1997 American League Player Review ← 1996 | 1997 Hitting Statistics League Leaders | 1998 →,1997 American League Player Review ← 1996 | 1997 Hitting Statistics League Leaders | 1998 →,1997 American League Player Review ← 1996 | 1997 Hitting Statistics League Leaders | 1998 →,1997
Statistic,Name,Team,#,Top 25,1997
Base on Balls,Jim Thome,Cleveland,120,Top 25,1997
Batting Average,Frank Thomas,Chicago,.347,Top 25,1997
Doubles,John Valentin,Boston,47,Top 25,1997
Hits,Nomar Garciaparra,Boston,209,Top 25,1997
Home Runs,"Ken Griffey, Jr.",Seattle,56,Top 25,1997
On Base Percentage,Frank Thomas,Chicago,.461,Top 25,1997
RBI,"Ken Griffey, Jr.",Seattle,147,Top 25,1997
Runs,"Ken Griffey, Jr.",Seattle,125,Top 25,1997
Slugging Average,"Ken Griffey, Jr.",Seattle,.646,Top 25,1997
Stolen Bases,Brian Hunter,Detroit,74,Top 25,1997
Total Bases,"Ken Griffey, Jr.",Seattle,393,Top 25,1997
Triples,Nomar Garciaparra,Boston,11,Top 25,1997
Statistic,Name,Team,#,Top 25,1997
1998 American League Player Review ← 1997 | 1998 Hitting Statistics League Leaders | 1999 →,1998 American League Player Review ← 1997 | 1998 Hitting Statistics League Leaders | 1999 →,1998 American League Player Review ← 1997 | 1998 Hitting Statistics League Leaders | 1999 →,1998 American League Player Review ← 1997 | 1998 Hitting Statistics League Leaders | 1999 →,1998 American League Player Review ← 1997 | 1998 Hitting Statistics League Leaders | 1999 →,1998
Statistic,Name,Team,#,Top 25,1998
Base on Balls,Rickey Henderson,Oakland,118,Top 25,1998
Batting Average,Bernie Williams,New York,.339,Top 25,1998
Doubles,Juan Gonzalez,Texas,50,Top 25,1998
Hits,Alex Rodriguez,Seattle,213,Top 25,1998
Home Runs,"Ken Griffey, Jr.",Seattle,56,Top 25,1998
On Base Percentage,Edgar Martinez,Seattle,.433,Top 25,1998
RBI,Juan Gonzalez,Texas,157,Top 25,1998
Runs,Derek Jeter,New York,127,Top 25,1998
Slugging Average,Albert Belle,Chicago,.655,Top 25,1998
Stolen Bases,Rickey Henderson,Oakland,66,Top 25,1998
Total Bases,Albert Belle,Chicago,399,Top 25,1998
Triples,Jose Offerman,Kansas City,13,Top 25,1998
Statistic,Name,Team,#,Top 25,1998
1999 American League Player Review ← 1998 | 1999 Hitting Statistics League Leaders | 2000 →,1999 American League Player Review ← 1998 | 1999 Hitting Statistics League Leaders | 2000 →,1999 American League Player Review ← 1998 | 1999 Hitting Statistics League Leaders | 2000 →,1999 American League Player Review ← 1998 | 1999 Hitting Statistics League Leaders | 2000 →,1999 American League Player Review ← 1998 | 1999 Hitting Statistics League Leaders | 2000 →,1999
Statistic,Name,Team,#,Top 25,1999
Base on Balls,Jim Thome,Cleveland,127,Top 25,1999
Batting Average,Nomar Garciaparra,Boston,.357,Top 25,1999
Doubles,Shawn Green,Toronto,45,Top 25,1999
Hits,Derek Jeter,New York,219,Top 25,1999
Home Runs,"Ken Griffey, Jr.",Seattle,48,Top 25,1999
On Base Percentage,Edgar Martinez,Seattle,.447,Top 25,1999
RBI,Manny Ramirez,Cleveland,165,Top 25,1999
Runs,Roberto Alomar,Cleveland,138,Top 25,1999
Slugging Average,Manny Ramirez,Cleveland,.663,Top 25,1999
Stolen Bases,Brian Hunter,Seattle,44,Top 25,1999
Total Bases,Shawn Green,Toronto,361,Top 25,1999
Triples,Jose Offerman,Boston,11,Top 25,1999
Statistic,Name,Team,#,Top 25,1999
2000 American League Player Review ← 1999 | 2000 Hitting Statistics League Leaders | 2001 →,2000 American League Player Review ← 1999 | 2000 Hitting Statistics League Leaders | 2001 →,2000 American League Player Review ← 1999 | 2000 Hitting Statistics League Leaders | 2001 →,2000 American League Player Review ← 1999 | 2000 Hitting Statistics League Leaders | 2001 →,2000 American League Player Review ← 1999 | 2000 Hitting Statistics League Leaders | 2001 →,2000
Statistic,Name,Team,#,Top 25,2000
Base on Balls,Jason Giambi,Oakland,137,Top 25,2000
Batting Average,Nomar Garciaparra,Boston,.372,Top 25,2000
Doubles,Carlos Delgado,Toronto,57,Top 25,2000
Hits,Darin Erstad,Anaheim,240,Top 25,2000
Home Runs,Troy Glaus,Anaheim,47,Top 25,2000
On Base Percentage,Jason Giambi,Oakland,.476,Top 25,2000
RBI,Edgar Martinez,Seattle,145,Top 25,2000
Runs,Johnny Damon,Kansas City,136,Top 25,2000
Slugging Average,Manny Ramirez,Cleveland,.697,Top 25,2000
Stolen Bases,Johnny Damon,Kansas City,46,Top 25,2000
Total Bases,Carlos Delgado,Toronto,378,Top 25,2000
Triples,Cristian Guzman,Minnesota,20,Top 25,2000
Statistic,Name,Team,#,Top 25,2000
2001 American League Player Review ← 2000 | 2001 Hitting Statistics League Leaders | 2002 →,2001 American League Player Review ← 2000 | 2001 Hitting Statistics League Leaders | 2002 →,2001 American League Player Review ← 2000 | 2001 Hitting Statistics League Leaders | 2002 →,2001 American League Player Review ← 2000 | 2001 Hitting Statistics League Leaders | 2002 →,2001 American League Player Review ← 2000 | 2001 Hitting Statistics League Leaders | 2002 →,2001
Statistic,Name,Team,#,Top 25,2001
Base on Balls,Jason Giambi,Oakland,129,Top 25,2001
Batting Average,Ichiro Suzuki,Seattle,.350,Top 25,2001
Doubles,Jason Giambi,Oakland,47,Top 25,2001
Hits,Ichiro Suzuki,Seattle,242,Top 25,2001
Home Runs,Alex Rodriguez,Texas,52,Top 25,2001
On Base Percentage,Jason Giambi,Oakland,.477,Top 25,2001
RBI,Bret Boone,Seattle,141,Top 25,2001
Runs,Alex Rodriguez,Texas,133,Top 25,2001
Slugging Average,Jason Giambi,Oakland,.660,Top 25,2001
Stolen Bases,Ichiro Suzuki,Seattle,56,Top 25,2001
Total Bases,Alex Rodriguez,Texas,393,Top 25,2001
Triples,Cristian Guzman,Minnesota,14,Top 25,2001
Statistic,Name,Team,#,Top 25,2001
2002 American League Player Review ← 2001 | 2002 Hitting Statistics League Leaders | 2003 →,2002 American League Player Review ← 2001 | 2002 Hitting Statistics League Leaders | 2003 →,2002 American League Player Review ← 2001 | 2002 Hitting Statistics League Leaders | 2003 →,2002 American League Player Review ← 2001 | 2002 Hitting Statistics League Leaders | 2003 →,2002 American League Player Review ← 2001 | 2002 Hitting Statistics League Leaders | 2003 →,2002
Statistic,Name,Team,#,Top 25,2002
Base on Balls,Jim Thome,Cleveland,122,Top 25,2002
Batting Average,Manny Ramirez,Boston,.349,Top 25,2002
Doubles,Garret Anderson,Anaheim,56,Top 25,2002
Doubles,Nomar Garciaparra,Boston,56,Top 25,2002
Hits,Alfonso Soriano,New York,209,Top 25,2002
Home Runs,Alex Rodriguez,Texas,57,Top 25,2002
On Base Percentage,Manny Ramirez,Boston,.450,Top 25,2002
RBI,Alex Rodriguez,Texas,142,Top 25,2002
Runs,Alfonso Soriano,New York,128,Top 25,2002
Slugging Average,Jim Thome,Cleveland,.677,Top 25,2002
Stolen Bases,Alfonso Soriano,New York,41,Top 25,2002
Total Bases,Alex Rodriguez,Texas,389,Top 25,2002
Triples,Johnny Damon,Boston,11,Top 25,2002
Statistic,Name,Team,#,Top 25,2002
2003 American League Player Review ← 2002 | 2003 Hitting Statistics League Leaders | 2004 →,2003 American League Player Review ← 2002 | 2003 Hitting Statistics League Leaders | 2004 →,2003 American League Player Review ← 2002 | 2003 Hitting Statistics League Leaders | 2004 →,2003 American League Player Review ← 2002 | 2003 Hitting Statistics League Leaders | 2004 →,2003 American League Player Review ← 2002 | 2003 Hitting Statistics League Leaders | 2004 →,2003
Statistic,Name,Team,#,Top 25,2003
Base on Balls,Jason Giambi,New York,129,Top 25,2003
Batting Average,Bill Mueller,Boston,.326,Top 25,2003
Doubles,Garret Anderson,Anaheim,49,Top 25,2003
Doubles,Vernon Wells,Toronto,49,Top 25,2003
